fanuc_doosan_id,process_no,product_id,dt_start,dt_end,dt_change_tool,dt_workday
193,30,5,2021-09-01 18:07,2021-09-01 18:21,0000-00-00 00:00:00,2021-09-01
194,50,5,2021-09-01 18:19,2021-09-01 18:23,0000-00-00 00:00:00,2021-09-01
195,20,5,2021-09-01 18:20,2021-09-01 18:24,0000-00-00 00:00:00,2021-09-01
196,40,5,2021-09-01 18:20,2021-09-01 18:24,0000-00-00 00:00:00,2021-09-01
197,90,5,2021-09-01 18:21,2021-09-01 18:26,0000-00-00 00:00:00,2021-09-01
198,30,5,2021-09-01 18:21,2021-09-01 18:26,0000-00-00 00:00:00,2021-09-01
199,50,5,2021-09-01 18:23,2021-09-01 18:27,0000-00-00 00:00:00,2021-09-01
200,20,5,2021-09-01 18:24,2021-09-01 18:28,0000-00-00 00:00:00,2021-09-01
201,40,5,2021-09-01 18:24,2021-09-01 18:29,0000-00-00 00:00:00,2021-09-01
202,90,5,2021-09-01 18:26,2021-09-01 18:30,0000-00-00 00:00:00,2021-09-01
203,30,5,2021-09-01 18:26,2021-09-01 18:31,0000-00-00 00:00:00,2021-09-01
204,50,5,2021-09-01 18:27,2021-09-01 18:31,0000-00-00 00:00:00,2021-09-01
205,20,5,2021-09-01 18:28,2021-09-01 18:32,0000-00-00 00:00:00,2021-09-01
206,40,5,2021-09-01 18:29,2021-09-01 18:33,0000-00-00 00:00:00,2021-09-01
207,90,5,2021-09-01 18:30,2021-09-01 18:35,0000-00-00 00:00:00,2021-09-01
208,30,5,2021-09-01 18:31,2021-09-01 18:36,0000-00-00 00:00:00,2021-09-01
209,20,5,2021-09-01 18:32,2021-09-01 18:36,0000-00-00 00:00:00,2021-09-01
210,50,5,2021-09-01 18:31,2021-09-01 18:36,0000-00-00 00:00:00,2021-09-01
211,40,5,2021-09-01 18:33,2021-09-01 18:38,0000-00-00 00:00:00,2021-09-01
212,90,5,2021-09-01 18:35,2021-09-01 18:40,0000-00-00 00:00:00,2021-09-01
213,30,5,2021-09-01 18:36,2021-09-01 18:41,0000-00-00 00:00:00,2021-09-01
214,50,5,2021-09-01 18:36,2021-09-01 18:41,0000-00-00 00:00:00,2021-09-01
215,20,5,2021-09-01 18:36,2021-09-01 18:41,0000-00-00 00:00:00,2021-09-01
216,90,5,2021-09-01 18:40,2021-09-01 18:44,0000-00-00 00:00:00,2021-09-01
217,30,5,2021-09-01 18:41,2021-09-01 18:46,0000-00-00 00:00:00,2021-09-01
218,40,5,2021-09-01 18:38,2021-09-01 18:46,0000-00-00 00:00:00,2021-09-01
219,50,5,2021-09-01 18:41,2021-09-01 18:49,0000-00-00 00:00:00,2021-09-01
220,90,5,2021-09-01 18:44,2021-09-01 18:49,0000-00-00 00:00:00,2021-09-01
221,40,5,2021-09-01 18:46,2021-09-01 18:50,0000-00-00 00:00:00,2021-09-01
222,50,5,2021-09-01 18:49,2021-09-01 18:53,0000-00-00 00:00:00,2021-09-01
223,90,5,2021-09-01 18:49,2021-09-01 18:54,0000-00-00 00:00:00,2021-09-01
224,30,5,2021-09-01 18:52,2021-09-01 18:57,0000-00-00 00:00:00,2021-09-01
225,90,5,2021-09-01 18:54,2021-09-01 18:59,0000-00-00 00:00:00,2021-09-01
226,40,5,2021-09-01 18:53,2021-09-01 19:00,0000-00-00 00:00:00,2021-09-01
227,50,5,2021-09-01 18:53,2021-09-01 19:03,0000-00-00 00:00:00,2021-09-01
228,90,5,2021-09-01 18:59,2021-09-01 19:03,0000-00-00 00:00:00,2021-09-01
229,20,5,2021-09-01 18:41,2021-09-01 19:06,0000-00-00 00:00:00,2021-09-01
230,90,5,2021-09-01 19:03,2021-09-01 19:08,0000-00-00 00:00:00,2021-09-01
231,30,5,2021-09-01 18:57,2021-09-01 19:09,0000-00-00 00:00:00,2021-09-01
232,20,5,2021-09-01 19:06,2021-09-01 19:10,0000-00-00 00:00:00,2021-09-01
233,40,5,2021-09-01 19:00,2021-09-01 19:11,0000-00-00 00:00:00,2021-09-01
234,90,5,2021-09-01 19:08,2021-09-01 19:13,0000-00-00 00:00:00,2021-09-01
235,50,5,2021-09-01 19:03,2021-09-01 19:14,0000-00-00 00:00:00,2021-09-01
236,30,5,2021-09-01 19:09,2021-09-01 19:14,0000-00-00 00:00:00,2021-09-01
237,20,5,2021-09-01 19:10,2021-09-01 19:14,0000-00-00 00:00:00,2021-09-01
238,90,5,2021-09-01 19:13,2021-09-01 19:17,0000-00-00 00:00:00,2021-09-01
239,40,5,2021-09-01 19:11,2021-09-01 19:17,0000-00-00 00:00:00,2021-09-01
240,20,5,2021-09-01 19:14,2021-09-01 19:18,0000-00-00 00:00:00,2021-09-01
241,50,5,2021-09-01 19:14,2021-09-01 19:20,0000-00-00 00:00:00,2021-09-01
242,20,5,2021-09-01 19:18,2021-09-01 19:22,0000-00-00 00:00:00,2021-09-01
243,90,5,2021-09-01 19:17,2021-09-01 19:22,0000-00-00 00:00:00,2021-09-01
244,30,5,2021-09-01 19:14,2021-09-01 19:22,0000-00-00 00:00:00,2021-09-01
245,40,5,2021-09-01 19:17,2021-09-01 19:24,0000-00-00 00:00:00,2021-09-01
246,90,5,2021-09-01 19:22,2021-09-01 19:27,0000-00-00 00:00:00,2021-09-01
247,30,5,2021-09-01 19:22,2021-09-01 19:27,0000-00-00 00:00:00,2021-09-01
248,90,5,2021-09-01 19:27,2021-09-01 19:31,0000-00-00 00:00:00,2021-09-01
249,20,5,2021-09-01 19:22,2021-09-01 19:33,0000-00-00 00:00:00,2021-09-01
250,90,5,2021-09-01 19:31,2021-09-01 19:36,0000-00-00 00:00:00,2021-09-01
251,40,5,2021-09-01 19:24,2021-09-01 19:39,0000-00-00 00:00:00,2021-09-01
252,30,5,2021-09-01 19:27,2021-09-01 19:41,0000-00-00 00:00:00,2021-09-01
253,90,5,2021-09-01 19:36,2021-09-01 19:41,0000-00-00 00:00:00,2021-09-01
254,90,5,2021-09-01 19:41,2021-09-01 19:46,0000-00-00 00:00:00,2021-09-01
255,90,5,2021-09-01 19:53,2021-09-01 19:58,0000-00-00 00:00:00,2021-09-01
256,90,5,2021-09-01 19:58,2021-09-01 20:03,0000-00-00 00:00:00,2021-09-01
257,30,5,2021-09-01 19:41,2021-09-01 20:05,0000-00-00 00:00:00,2021-09-01
258,40,5,2021-09-01 19:39,2021-09-01 20:06,0000-00-00 00:00:00,2021-09-01
259,90,5,2021-09-01 20:03,2021-09-01 20:07,0000-00-00 00:00:00,2021-09-01
260,50,5,2021-09-01 19:28,2021-09-01 20:10,0000-00-00 00:00:00,2021-09-01
261,40,5,2021-09-01 20:08,2021-09-01 20:12,0000-00-00 00:00:00,2021-09-01
262,30,5,2021-09-01 20:05,2021-09-01 20:13,0000-00-00 00:00:00,2021-09-01
263,40,5,2021-09-01 20:12,2021-09-01 20:16,0000-00-00 00:00:00,2021-09-01
264,30,5,2021-09-01 20:13,2021-09-01 20:18,0000-00-00 00:00:00,2021-09-01
265,20,5,2021-09-01 19:33,2021-09-01 20:19,0000-00-00 00:00:00,2021-09-01
266,50,5,2021-09-01 20:12,2021-09-01 20:21,0000-00-00 00:00:00,2021-09-01
267,90,5,2021-09-01 20:16,2021-09-01 20:21,0000-00-00 00:00:00,2021-09-01
268,40,5,2021-09-01 20:16,2021-09-01 20:22,0000-00-00 00:00:00,2021-09-01
269,30,5,2021-09-01 20:18,2021-09-01 20:23,0000-00-00 00:00:00,2021-09-01
270,20,5,2021-09-01 20:19,2021-09-01 20:23,0000-00-00 00:00:00,2021-09-01
271,50,5,2021-09-01 20:21,2021-09-01 20:25,0000-00-00 00:00:00,2021-09-01
272,90,5,2021-09-01 20:21,2021-09-01 20:25,0000-00-00 00:00:00,2021-09-01
273,40,5,2021-09-01 20:22,2021-09-01 20:26,0000-00-00 00:00:00,2021-09-01
274,20,5,2021-09-01 20:23,2021-09-01 20:27,0000-00-00 00:00:00,2021-09-01
275,30,5,2021-09-01 20:23,2021-09-01 20:28,0000-00-00 00:00:00,2021-09-01
276,50,5,2021-09-01 20:25,2021-09-01 20:29,0000-00-00 00:00:00,2021-09-01
277,90,5,2021-09-01 20:25,2021-09-01 20:30,0000-00-00 00:00:00,2021-09-01
278,40,5,2021-09-01 20:26,2021-09-01 20:31,0000-00-00 00:00:00,2021-09-01
279,20,5,2021-09-01 20:27,2021-09-01 20:31,0000-00-00 00:00:00,2021-09-01
280,30,5,2021-09-01 20:28,2021-09-01 20:33,0000-00-00 00:00:00,2021-09-01
281,50,5,2021-09-01 20:29,2021-09-01 20:33,0000-00-00 00:00:00,2021-09-01
282,90,5,2021-09-01 20:30,2021-09-01 20:35,0000-00-00 00:00:00,2021-09-01
283,40,5,2021-09-01 20:31,2021-09-01 20:35,0000-00-00 00:00:00,2021-09-01
284,20,5,2021-09-01 20:31,2021-09-01 20:35,0000-00-00 00:00:00,2021-09-01
285,30,5,2021-09-01 20:33,2021-09-01 20:38,0000-00-00 00:00:00,2021-09-01
286,50,5,2021-09-01 20:33,2021-09-01 20:38,0000-00-00 00:00:00,2021-09-01
287,20,5,2021-09-01 20:35,2021-09-01 20:39,0000-00-00 00:00:00,2021-09-01
288,90,5,2021-09-01 20:35,2021-09-01 20:39,0000-00-00 00:00:00,2021-09-01
